,id,size,header_position,name,value,flag,time
0,1,8,12,ActTime,1.019265406342078e+180,0,2023-11-11 13:17:58.451000
1,2,8,25,ActTime2,1.019265406342078e+180,0,2023-11-11 13:17:58.451000
2,1,8,12,ActTime,1.0192654064779408e+180,0,2023-11-11 13:17:58.469000
3,2,8,25,ActTime2,1.0192654064854886e+180,0,2023-11-11 13:17:58.470000
4,3,8,32,F1,0.0,0,2009-04-22 21:25:53.537000
5,4,8,39,F2,0.0,0,2009-04-22 21:25:53.537000
6,5,8,46,P1,0.0,0,2009-04-22 21:25:53.537000
7,6,8,53,P2,0.0,0,2009-04-22 21:25:53.537000
8,7,8,60,P3,0.0,0,2009-04-22 21:25:53.537000
9,1,8,12,ActTime,1.0192703531689972e+180,0,2023-11-11 13:18:08.480000
10,2,8,25,ActTime2,1.0192703531765452e+180,0,2023-11-11 13:18:08.481000
11,1,8,12,ActTime,1.0192752997770268e+180,0,2023-11-11 13:18:18.480000
12,2,8,25,ActTime2,1.0192752997845748e+180,0,2023-11-11 13:18:18.481000
13,1,8,12,ActTime,1.019280246422796e+180,0,2023-11-11 13:18:28.485000
14,3,8,32,F1,507.5483705014008,0,2023-11-11 13:18:20.675000
15,3,8,32,F1,507.5599606214998,0,2023-11-11 13:18:21.537000
16,3,8,32,F1,507.574981653331,0,2023-11-11 13:18:22.537000
17,3,8,32,F1,507.5453678353354,0,2023-11-11 13:18:23.539000
18,3,8,32,F1,507.5224892041204,0,2023-11-11 13:18:24.538000
19,3,8,32,F1,507.4915653369428,0,2023-11-11 13:18:25.538000
20,3,8,32,F1,507.4940073498923,0,2023-11-11 13:18:26.537000
21,3,8,32,F1,507.5162905874119,0,2023-11-11 13:18:27.537000
22,4,8,39,F2,506.161580921403,0,2023-11-11 13:18:20.682000
23,4,8,39,F2,506.2433983768524,0,2023-11-11 13:18:21.537000
24,4,8,39,F2,506.1579814361578,0,2023-11-11 13:18:22.537000
25,4,8,39,F2,506.2187876188949,0,2023-11-11 13:18:23.539000
