id,size,header_position,name,value,flag,time
1,8,12,ActTime,3.6924141884407295e+181,0,2024-01-13 00:32:14.530000
2,8,25,ActTime2,3.692414189213637e+181,0,2024-01-13 00:32:14.546000
1,8,12,ActTime,3.692414189213637e+181,0,2024-01-13 00:32:14.546000
2,8,25,ActTime2,3.692414189213637e+181,0,2024-01-13 00:32:14.546000
3,8,32,F1,0.0,0,2009-04-22 21:25:53.537000
4,8,39,F2,0.0,0,2009-04-22 21:25:53.537000
5,8,46,P1,0.0,0,2009-04-22 21:25:53.537000
6,8,53,P2,0.0,0,2009-04-22 21:25:53.537000
7,8,60,P3,0.0,0,2009-04-22 21:25:53.537000
1,8,12,ActTime,3.692445848664387e+181,0,2024-01-13 00:32:24.570000
2,8,25,ActTime2,3.692445848664387e+181,0,2024-01-13 00:32:24.570000
1,8,12,ActTime,3.692477507873603e+181,0,2024-01-13 00:32:34.589000
2,8,25,ActTime2,3.692477507873603e+181,0,2024-01-13 00:32:34.589000
1,8,12,ActTime,3.692509166213298e+181,0,2024-01-13 00:32:44.590000
2,8,25,ActTime2,3.692509166213298e+181,0,2024-01-13 00:32:44.590000
1,8,12,ActTime,3.692540824697914e+181,0,2024-01-13 00:32:54.594000
2,8,25,ActTime2,3.692540824697914e+181,0,2024-01-13 00:32:54.594000
1,8,12,ActTime,3.692572483665596e+181,0,2024-01-13 00:33:04.608000
2,8,25,ActTime2,3.692572483665596e+181,0,2024-01-13 00:33:04.608000
1,8,12,ActTime,3.692604142150212e+181,0,2024-01-13 00:33:14.612000
2,8,25,ActTime2,3.692604142150212e+181,0,2024-01-13 00:33:14.612000
1,8,12,ActTime,3.6926358012628145e+181,0,2024-01-13 00:33:24.629000
2,8,25,ActTime2,3.6926358012628145e+181,0,2024-01-13 00:33:24.629000
1,8,12,ActTime,3.6926674601821904e+181,0,2024-01-13 00:33:34.642000
2,8,25,ActTime2,3.6926674601821904e+181,0,2024-01-13 00:33:34.642000
1,8,12,ActTime,3.692699118811726e+181,0,2024-01-13 00:33:44.649000
2,8,25,ActTime2,3.692699118860033e+181,0,2024-01-13 00:33:44.650000
1,8,12,ActTime,3.692730777779409e+181,0,2024-01-13 00:33:54.663000
2,8,25,ActTime2,3.6927307778277154e+181,0,2024-01-13 00:33:54.664000
1,8,12,ActTime,3.692762436457251e+181,0,2024-01-13 00:34:04.671000
2,8,25,ActTime2,3.692762436505558e+181,0,2024-01-13 00:34:04.672000
1,8,12,ActTime,3.69279409532832e+181,0,2024-01-13 00:34:14.683000
2,8,25,ActTime2,3.692794095376627e+181,0,2024-01-13 00:34:14.684000
1,8,12,ActTime,3.6928257538129356e+181,0,2024-01-13 00:34:24.687000
2,8,25,ActTime2,3.6928257538129356e+181,0,2024-01-13 00:34:24.687000
1,8,12,ActTime,3.692857412297551e+181,0,2024-01-13 00:34:34.691000
2,8,25,ActTime2,3.692857412345858e+181,0,2024-01-13 00:34:34.692000
1,8,12,ActTime,3.692889070830473e+181,0,2024-01-13 00:34:44.696000
2,8,25,ActTime2,3.69288907087878e+181,0,2024-01-13 00:34:44.697000
1,8,12,ActTime,3.692920729604929e+181,0,2024-01-13 00:34:54.706000
2,8,25,ActTime2,3.692920729653236e+181,0,2024-01-13 00:34:54.707000
1,8,12,ActTime,3.692952387992931e+181,0,2024-01-13 00:35:04.708000
2,8,25,ActTime2,3.692952388041238e+181,0,2024-01-13 00:35:04.709000
1,8,12,ActTime,3.69298404671908e+181,0,2024-01-13 00:35:14.717000
2,8,25,ActTime2,3.69298404671908e+181,0,2024-01-13 00:35:14.717000
1,8,12,ActTime,3.693015705638456e+181,0,2024-01-13 00:35:24.730000
2,8,25,ActTime2,3.6930157056867626e+181,0,2024-01-13 00:35:24.731000
1,8,12,ActTime,3.6930473640747646e+181,0,2024-01-13 00:35:34.733000
2,8,25,ActTime2,3.693047364123071e+181,0,2024-01-13 00:35:34.734000
1,8,12,ActTime,3.6930790229941405e+181,0,2024-01-13 00:35:44.746000
2,8,25,ActTime2,3.6930790229941405e+181,0,2024-01-13 00:35:44.746000
1,8,12,ActTime,3.6931106815270626e+181,0,2024-01-13 00:35:54.751000
2,8,25,ActTime2,3.693110681575369e+181,0,2024-01-13 00:35:54.752000
1,8,12,ActTime,3.693142340494745e+181,0,2024-01-13 00:36:04.765000
2,8,25,ActTime2,3.693142340494745e+181,0,2024-01-13 00:36:04.765000
1,8,12,ActTime,3.6931739991725876e+181,0,2024-01-13 00:36:14.773000
2,8,25,ActTime2,3.693173999220894e+181,0,2024-01-13 00:36:14.774000
1,8,12,ActTime,3.693205657463976e+181,0,2024-01-13 00:36:24.773000
2,8,25,ActTime2,3.693205657512283e+181,0,2024-01-13 00:36:24.774000
1,8,12,ActTime,3.693237316093512e+181,0,2024-01-13 00:36:34.780000
3,8,32,F1,507.5902070932322,0,2024-01-13 00:36:32.212000
3,8,32,F1,507.51203610369197,0,2024-01-13 00:36:33.114000
3,8,32,F1,507.5531929082946,0,2024-01-13 00:36:34.114000
4,8,39,F2,506.18137473843547,0,2024-01-13 00:36:32.213000
4,8,39,F2,506.2255586036324,0,2024-01-13 00:36:33.114000
4,8,39,F2,506.22215072241204,0,2024-01-13 00:36:34.115000
5,8,46,P1,2974.744780077922,0,2024-01-13 00:36:32.210000
5,8,46,P1,2974.744865238588,0,2024-01-13 00:36:33.114000
5,8,46,P1,2974.744904484675,0,2024-01-13 00:36:34.114000
6,8,53,P2,130.20952497638905,0,2024-01-13 00:36:32.213000
6,8,53,P2,130.20969745682015,0,2024-01-13 00:36:33.114000
6,8,53,P2,130.20986096689654,0,2024-01-13 00:36:34.115000
2,8,25,ActTime2,3.6932373161418184e+181,0,2024-01-13 00:36:34.781000
3,8,32,F1,507.5531929082946,0,2024-01-13 00:36:34.114000
4,8,39,F2,506.22215072241204,0,2024-01-13 00:36:34.115000
5,8,46,P1,2974.744904484675,0,2024-01-13 00:36:34.114000
6,8,53,P2,130.20986096689654,0,2024-01-13 00:36:34.115000
1,8,12,ActTime,3.693268974771354e+181,0,2024-01-13 00:36:44.788000
3,8,32,F1,507.55002461421105,0,2024-01-13 00:36:35.114000
3,8,32,F1,507.5743130240382,0,2024-01-13 00:36:36.115000
3,8,32,F1,507.51925390453226,0,2024-01-13 00:36:37.114000
3,8,32,F1,507.5440022136349,0,2024-01-13 00:36:38.113000
3,8,32,F1,507.50977001293137,0,2024-01-13 00:36:39.113000
3,8,32,F1,507.5629171112186,0,2024-01-13 00:36:40.113000
3,8,32,F1,507.5483220346932,0,2024-01-13 00:36:41.114000
3,8,32,F1,507.55773138040985,0,2024-01-13 00:36:42.114000
3,8,32,F1,507.5463892482386,0,2024-01-13 00:36:43.113000
3,8,32,F1,507.5738201973674,0,2024-01-13 00:36:44.114000
4,8,39,F2,506.1855439787254,0,2024-01-13 00:36:35.114000
4,8,39,F2,506.2344133334881,0,2024-01-13 00:36:36.115000
4,8,39,F2,506.1810579648295,0,2024-01-13 00:36:37.114000
4,8,39,F2,506.16843115340674,0,2024-01-13 00:36:38.113000
4,8,39,F2,506.18958496474147,0,2024-01-13 00:36:39.114000
4,8,39,F2,506.1559379533684,0,2024-01-13 00:36:40.114000
4,8,39,F2,506.1986987062944,0,2024-01-13 00:36:41.115000
4,8,39,F2,506.2198281144096,0,2024-01-13 00:36:42.114000
4,8,39,F2,506.2270032932469,0,2024-01-13 00:36:43.113000
4,8,39,F2,506.2188376630128,0,2024-01-13 00:36:44.114000
5,8,46,P1,2974.7448601857727,0,2024-01-13 00:36:35.114000
5,8,46,P1,2974.744290594482,0,2024-01-13 00:36:36.114000
5,8,46,P1,2974.7441105101248,0,2024-01-13 00:36:37.114000
5,8,46,P1,2974.744636437545,0,2024-01-13 00:36:38.113000
5,8,46,P1,2974.7447549463895,0,2024-01-13 00:36:39.113000
5,8,46,P1,2974.7442300776684,0,2024-01-13 00:36:40.113000
5,8,46,P1,2974.7439828012325,0,2024-01-13 00:36:41.114000
5,8,46,P1,2974.7439769153834,0,2024-01-13 00:36:42.114000
5,8,46,P1,2974.7440666262096,0,2024-01-13 00:36:43.113000
5,8,46,P1,2974.7443710035996,0,2024-01-13 00:36:44.114000
6,8,53,P2,130.2099070153576,0,2024-01-13 00:36:35.114000
6,8,53,P2,130.20982495102695,0,2024-01-13 00:36:36.115000
6,8,53,P2,130.20979933792597,0,2024-01-13 00:36:37.114000
6,8,53,P2,130.20978974073444,0,2024-01-13 00:36:38.113000
6,8,53,P2,130.20976886996178,0,2024-01-13 00:36:39.114000
6,8,53,P2,130.2097649915067,0,2024-01-13 00:36:40.113000
6,8,53,P2,130.20977608512075,0,2024-01-13 00:36:41.114000
6,8,53,P2,130.2097515109677,0,2024-01-13 00:36:42.114000
6,8,53,P2,130.20967092577087,0,2024-01-13 00:36:43.113000
6,8,53,P2,130.2096542126377,0,2024-01-13 00:36:44.114000
2,8,25,ActTime2,3.693268974819661e+181,0,2024-01-13 00:36:44.789000
3,8,32,F1,507.5738201973674,0,2024-01-13 00:36:44.114000
4,8,39,F2,506.2188376630128,0,2024-01-13 00:36:44.114000
5,8,46,P1,2974.7443710035996,0,2024-01-13 00:36:44.114000
6,8,53,P2,130.2096542126377,0,2024-01-13 00:36:44.114000
1,8,12,ActTime,3.693300633787343e+181,0,2024-01-13 00:36:54.803000
3,8,32,F1,507.5510247099427,0,2024-01-13 00:36:45.114000
3,8,32,F1,507.4986301081442,0,2024-01-13 00:36:46.114000
3,8,32,F1,507.55177570128063,0,2024-01-13 00:36:47.115000
3,8,32,F1,507.56270318908173,0,2024-01-13 00:36:48.113000
3,8,32,F1,507.48905154105614,0,2024-01-13 00:36:49.114000
3,8,32,F1,507.5684149141316,0,2024-01-13 00:36:50.114000
3,8,32,F1,507.5160160448716,0,2024-01-13 00:36:51.114000
3,8,32,F1,507.49797058052917,0,2024-01-13 00:36:52.115000
3,8,32,F1,507.5648400645213,0,2024-01-13 00:36:53.113000
3,8,32,F1,507.5500831949929,0,2024-01-13 00:36:54.114000
4,8,39,F2,506.2049468908435,0,2024-01-13 00:36:45.114000
4,8,39,F2,506.1769904757504,0,2024-01-13 00:36:46.114000
4,8,39,F2,506.16540083528884,0,2024-01-13 00:36:47.115000
4,8,39,F2,506.2478103154979,0,2024-01-13 00:36:48.113000
4,8,39,F2,506.19400459371633,0,2024-01-13 00:36:49.114000
4,8,39,F2,506.1632986475231,0,2024-01-13 00:36:50.114000
4,8,39,F2,506.1892761410937,0,2024-01-13 00:36:51.114000
4,8,39,F2,506.21767772260205,0,2024-01-13 00:36:52.115000
4,8,39,F2,506.18248804357756,0,2024-01-13 00:36:53.113000
4,8,39,F2,506.23589967268043,0,2024-01-13 00:36:54.114000
5,8,46,P1,2974.7444561361167,0,2024-01-13 00:36:45.114000
5,8,46,P1,2974.7444436527735,0,2024-01-13 00:36:46.114000
5,8,46,P1,2974.7444950811605,0,2024-01-13 00:36:47.115000
5,8,46,P1,2974.7443352794976,0,2024-01-13 00:36:48.113000
5,8,46,P1,2974.7443288948007,0,2024-01-13 00:36:49.114000
5,8,46,P1,2974.7443098098634,0,2024-01-13 00:36:50.114000
5,8,46,P1,2974.7444223210878,0,2024-01-13 00:36:51.114000
5,8,46,P1,2974.7444330618196,0,2024-01-13 00:36:52.115000
5,8,46,P1,2974.7444547176215,0,2024-01-13 00:36:53.113000
5,8,46,P1,2974.7443705862834,0,2024-01-13 00:36:54.114000
6,8,53,P2,130.20959456618095,0,2024-01-13 00:36:45.114000
6,8,53,P2,130.2095868216294,0,2024-01-13 00:36:46.114000
6,8,53,P2,130.20960224850953,0,2024-01-13 00:36:47.115000
6,8,53,P2,130.20952407798478,0,2024-01-13 00:36:48.113000
6,8,53,P2,130.20955423141928,0,2024-01-13 00:36:49.114000
6,8,53,P2,130.2095449527056,0,2024-01-13 00:36:50.114000
6,8,53,P2,130.20952609277057,0,2024-01-13 00:36:51.114000
6,8,53,P2,130.20942195625574,0,2024-01-13 00:36:52.115000
6,8,53,P2,130.2093884193083,0,2024-01-13 00:36:53.113000
6,8,53,P2,130.20940406077386,0,2024-01-13 00:36:54.114000
2,8,25,ActTime2,3.693300633787343e+181,0,2024-01-13 00:36:54.803000
3,8,32,F1,507.5500831949929,0,2024-01-13 00:36:54.114000
4,8,39,F2,506.23589967268043,0,2024-01-13 00:36:54.114000
5,8,46,P1,2974.7443705862834,0,2024-01-13 00:36:54.114000
6,8,53,P2,130.20940406077386,0,2024-01-13 00:36:54.114000
1,8,12,ActTime,3.693332292561799e+181,0,2024-01-13 00:37:04.813000
3,8,32,F1,507.56622755963156,0,2024-01-13 00:36:55.113000
3,8,32,F1,507.55485906629417,0,2024-01-13 00:36:56.114000
3,8,32,F1,507.57222992581893,0,2024-01-13 00:36:57.114000
3,8,32,F1,507.51713179601177,0,2024-01-13 00:36:58.113000
3,8,32,F1,507.5327172547527,0,2024-01-13 00:36:59.114000
3,8,32,F1,507.53856311306424,0,2024-01-13 00:37:00.113000
3,8,32,F1,507.47552417607517,0,2024-01-13 00:37:01.113000
3,8,32,F1,507.56821170513865,0,2024-01-13 00:37:02.114000
3,8,32,F1,507.53971284211076,0,2024-01-13 00:37:03.114000
3,8,32,F1,507.53123316279175,0,2024-01-13 00:37:04.114000
4,8,39,F2,506.167271092568,0,2024-01-13 00:36:55.113000
4,8,39,F2,506.1768464599845,0,2024-01-13 00:36:56.114000
4,8,39,F2,506.18906390796946,0,2024-01-13 00:36:57.114000
4,8,39,F2,506.22152320502556,0,2024-01-13 00:36:58.113000
4,8,39,F2,506.2443534580896,0,2024-01-13 00:36:59.114000
4,8,39,F2,506.1958504810246,0,2024-01-13 00:37:00.113000
4,8,39,F2,506.23956934064745,0,2024-01-13 00:37:01.113000
4,8,39,F2,506.1781324918015,0,2024-01-13 00:37:02.114000
4,8,39,F2,506.1596663807763,0,2024-01-13 00:37:03.114000
4,8,39,F2,506.2413845642644,0,2024-01-13 00:37:04.114000
5,8,46,P1,2974.744418571861,0,2024-01-13 00:36:55.113000
5,8,46,P1,2974.744383286844,0,2024-01-13 00:36:56.114000
5,8,46,P1,2974.744383534339,0,2024-01-13 00:36:57.114000
5,8,46,P1,2974.74447223907,0,2024-01-13 00:36:58.113000
5,8,46,P1,2974.744453336844,0,2024-01-13 00:36:59.114000
5,8,46,P1,2974.744480982305,0,2024-01-13 00:37:00.113000
5,8,46,P1,2974.7442757513327,0,2024-01-13 00:37:01.113000
5,8,46,P1,2974.744279900536,0,2024-01-13 00:37:02.114000
5,8,46,P1,2974.7444596054283,0,2024-01-13 00:37:03.114000
5,8,46,P1,2974.744462821054,0,2024-01-13 00:37:04.114000
6,8,53,P2,130.20933378977202,0,2024-01-13 00:36:55.113000
6,8,53,P2,130.20920320757818,0,2024-01-13 00:36:56.114000
6,8,53,P2,130.20915385303044,0,2024-01-13 00:36:57.114000
6,8,53,P2,130.20915761945872,0,2024-01-13 00:36:58.113000
6,8,53,P2,130.20908756481515,0,2024-01-13 00:36:59.114000
6,8,53,P2,130.2090116148302,0,2024-01-13 00:37:00.113000
6,8,53,P2,130.20901260338835,0,2024-01-13 00:37:01.113000
6,8,53,P2,130.20903880161305,0,2024-01-13 00:37:02.114000
6,8,53,P2,130.20892564823538,0,2024-01-13 00:37:03.114000
6,8,53,P2,130.2088698391528,0,2024-01-13 00:37:04.114000
2,8,25,ActTime2,3.693332292561799e+181,0,2024-01-13 00:37:04.813000
3,8,32,F1,507.53123316279175,0,2024-01-13 00:37:04.114000
4,8,39,F2,506.2413845642644,0,2024-01-13 00:37:04.114000
5,8,46,P1,2974.744462821054,0,2024-01-13 00:37:04.114000
6,8,53,P2,130.2088698391528,0,2024-01-13 00:37:04.114000
1,8,12,ActTime,3.693363951094721e+181,0,2024-01-13 00:37:14.818000
3,8,32,F1,507.51266873597405,0,2024-01-13 00:37:05.114000
3,8,32,F1,507.48666605137186,0,2024-01-13 00:37:06.114000
3,8,32,F1,507.52087641393,0,2024-01-13 00:37:07.114000
3,8,32,F1,507.56339352644,0,2024-01-13 00:37:08.114000
3,8,32,F1,507.5235807724421,0,2024-01-13 00:37:09.113000
3,8,32,F1,507.52466640719393,0,2024-01-13 00:37:10.114000
3,8,32,F1,507.56046362969187,0,2024-01-13 00:37:11.114000
3,8,32,F1,507.51127122202496,0,2024-01-13 00:37:12.113000
3,8,32,F1,507.5029059317671,0,2024-01-13 00:37:13.114000
